geo_name,geo_sumlevel,geo_id,adult_smoking_2015,adult_smoking_2016,adult_smoking_2017,homicide_rate_2015,homicide_rate_2016,homicide_rate_2017,income_2013,income_2014,income_2015,income_2016
"Autauga County, AL","county",05000US01001,0.217,0.187,0.174,4.6,5.1,3.6,53682,52475,51281,53099
"Baldwin County, AL","county",05000US01003,0.206,0.186,0.179,4.3,3.8,3.1,50221,50183,50254,51365
"Barbour County, AL","county",05000US01005,0.251,0.214,0.228,,4.5,6.8,32911,35634,32964,33956
"Bibb County, AL","county",05000US01007,0.259,0.21,0.199,7.8,7.4,8.2,36447,37984,38678,39776
"Blount County, AL","county",05000US01009,0.213,0.194,0.21,4.3,3.3,5.7,44145,44409,45813,46212
"Bullock County, AL","county",05000US01011,0.378,0.223,0.228,,,,32033,34804,31938,29335
"Butler County, AL","county",05000US01013,0.305,0.228,0.218,8.2,10.2,13.2,29918,31571,32229,34315
"Calhoun County, AL","county",05000US01015,0.244,0.238,0.203,12,10.8,9.3,39962,40919,41703,41954
"Chambers County, AL","county",05000US01017,0.241,0.208,0.209,9.7,9.9,8.8,32402,32835,34177,36027
"Cherokee County, AL","county",05000US01019,0.244,0.198,0.184,,,6,34907,34983,36296,38925
"Chilton County, AL","county",05000US01021,0.201,0.212,0.201,6.2,7.5,7.2,41250,41785,41627,42594
"Choctaw County, AL","county",05000US01023,0.199,0.19,0.205,,,11.6,33941,34325,33536,32622
"Clarke County, AL","county",05000US01025,0.137,0.212,0.201,7.5,6.4,6.2,29357,30951,32011,32735
"Clay County, AL","county",05000US01027,0.262,0.204,0.191,,,,34002,35286,35327,38815
"Cleburne County, AL","county",05000US01029,0.189,0.185,0.183,,,,38019,37008,38056,36316
"Coffee County, AL","county",05000US01031,0.177,0.193,0.186,3.5,3.2,,43768,45558,46729,47872
"Colbert County, AL","county",05000US01033,0.296,0.185,0.204,5.3,5.2,3.9,39077,39914,40576,43786
"Conecuh County, AL","county",05000US01035,0.229,0.238,0.229,,,,24658,24433,24900,27609
"Coosa County, AL","county",05000US01037,0.3,0.218,0.203,,,,37277,32340,31212,31910
"Covington County, AL","county",05000US01039,0.287,0.199,0.186,,,,35869,36256,36444,37313
"Crenshaw County, AL","county",05000US01041,0.166,0.204,0.19,,,,36275,37349,36022,37557
"Cullman County, AL","county",05000US01043,0.22,0.201,0.18,2.8,3.2,3,38847,39415,38971,39297
"Dale County, AL","county",05000US01045,0.212,0.202,0.191,7.3,7.8,7.7,44889,44473,45028,44093
"Dallas County, AL","county",05000US01047,0.206,0.254,0.227,20.6,24,25.1,26519,26494,27306,28136
"DeKalb County, AL","county",05000US01049,0.18,0.192,0.216,3.3,3.3,5.2,37851,37977,38192,38248
"Elmore County, AL","county",05000US01051,0.214,0.193,0.185,7.8,7.6,6.8,54766,54159,53555,53398
"Escambia County, AL","county",05000US01053,0.209,0.227,0.211,11.4,12,11.3,30687,31422,32330,32334
"Etowah County, AL","county",05000US01055,0.26,0.223,0.192,7.5,7.2,5.8,38013,38467,39220,40478
"Fayette County, AL","county",05000US01057,0.141,0.205,0.198,,,,33838,33144,34680,36205
"Franklin County, AL","county",05000US01059,0.245,0.197,0.202,,,,36415,35450,35372,36138
"Geneva County, AL","county",05000US01061,0.325,0.219,0.215,8.1,9.7,10.1,35625,36268,36024,36519
"Greene County, AL","county",05000US01063,0.181,0.265,0.263,20.8,,,24226,22170,20541,21339
"Hale County, AL","county",05000US01065,,0.218,0.221,13.3,12.1,,30051,30839,32714,33351
"Henry County, AL","county",05000US01067,0.17,0.175,0.18,10.7,12.8,,41650,42926,41997,41045
"Houston County, AL","county",05000US01069,0.184,0.194,0.198,4.3,4.3,4.2,40948,41077,41571,41945
"Jackson County, AL","county",05000US01071,0.221,0.202,0.185,4.2,3.8,3.5,37634,36874,37745,38422
"Jefferson County, AL","county",05000US01073,0.212,0.168,0.194,17,16.1,15,45429,45239,45610,47220
"Lamar County, AL","county",05000US01075,0.261,0.214,0.201,,,,36028,36021,35450,34298
"Lauderdale County, AL","county",05000US01077,0.177,0.189,0.182,6.2,6,5.7,42844,42703,43125,43657
"Lawrence County, AL","county",05000US01079,0.278,0.203,0.203,4.7,4.4,5.5,38551,40356,40003,42339
"Lee County, AL","county",05000US01081,0.183,0.203,0.192,6.5,5.9,6,43542,43641,44570,45056
"Limestone County, AL","county",05000US01083,0.219,0.186,0.18,4.9,3.8,4.1,48619,49461,49570,51115
"Lowndes County, AL","county",05000US01085,0.226,0.231,0.225,23.4,23.3,17,26230,25678,25876,27914
"Macon County, AL","county",05000US01087,0.138,0.235,0.221,31.4,29.8,27.4,30724,30254,30738,32390
"Madison County, AL","county",05000US01089,0.183,0.202,0.169,5.5,6.1,6,58434,58203,57993,60150
"Marengo County, AL","county",05000US01091,0.168,0.22,0.195,,,,35079,33714,32042,30713
"Marion County, AL","county",05000US01093,0.269,0.203,0.193,,,,32888,33819,32299,34074
"Marshall County, AL","county",05000US01095,0.277,0.204,0.19,3.2,3.3,3.3,39526,39473,38983,39831
"Mobile County, AL","county",05000US01097,0.238,0.205,0.216,15.2,15,13.2,43028,43844,43809,44263
"Monroe County, AL","county",05000US01099,0.207,0.219,0.212,9.5,11.5,8.9,29203,30569,27257,28182
"Montgomery County, AL","county",05000US01101,0.192,0.197,0.209,14.6,15.6,16.9,44790,44830,44369,45358
"Morgan County, AL","county",05000US01103,0.239,0.185,0.185,3.6,3.7,4.4,44800,45341,45751,46883
"Perry County, AL","county",05000US01105,0.259,0.246,0.229,15.3,,,28209,25528,24537,24912
"Pickens County, AL","county",05000US01107,0.181,0.216,0.209,,,,28741,29839,30330,31679
"Pike County, AL","county",05000US01109,0.183,0.223,0.203,6.2,7.9,7.8,33090,32798,32825,33193
"Randolph County, AL","county",05000US01111,0.281,0.201,0.187,9.4,8.4,8.8,35213,36498,36924,37496
"Russell County, AL","county",05000US01113,0.239,0.212,0.22,12.6,12,9.6,36143,36066,37049,38400
"St. Clair County, AL","county",05000US01115,0.272,0.198,0.18,5.3,5.4,5.4,50786,51317,51859,54042
"Shelby County, AL","county",05000US01117,0.18,0.155,0.14,3.6,3.2,3.5,68770,69723,70187,72310
"Sumter County, AL","county",05000US01119,0.17,0.241,0.237,,12.2,,22186,22865,19501,20428
"Talladega County, AL","county",05000US01121,0.231,0.218,0.216,9.2,9.2,9.6,35439,35896,35155,37923
"Tallapoosa County, AL","county",05000US01123,0.267,0.208,0.192,8.4,9.1,6.9,39130,38644,39206,39395
"Tuscaloosa County, AL","county",05000US01125,0.217,0.204,0.197,8.3,7.4,6.4,45408,46448,46565,48022
"Walker County, AL","county",05000US01127,0.277,0.218,0.207,6.5,6.9,6.2,37566,36712,35843,37025
"Washington County, AL","county",05000US01129,0.195,0.2,0.186,8,,,42156,44731,42811,40293
"Wilcox County, AL","county",05000US01131,0.189,0.252,0.242,14.8,18.4,13.8,23642,23406,23750,24442
"Winston County, AL","county",05000US01133,0.228,0.216,0.19,,5.2,5.9,32900,34064,33194,33896
"Aleutians East Borough, AK","county",05000US02013,0.382,0.202,0.192,,,,61250,59886,61518,65926
"Aleutians West Census Area, AK","county",05000US02016,0.267,0.18,0.166,,,,81853,82284,84306,86964
"Anchorage Municipality, AK","county",05000US02020,0.157,0.16,0.153,5.6,5.6,6,77454,78121,78326,80862
"Bethel Census Area, AK","county",05000US02050,0.299,0.343,0.312,18.3,12.4,12.2,51689,51930,51012,53296
"Bristol Bay Borough, AK","county",05000US02060,0.264,0.212,0.197,,,,79531,82500,79750,88000
"Denali Borough, AK","county",05000US02068,0.214,0.178,0.174,,,,72500,79167,81544,81302
"Dillingham Census Area, AK","county",05000US02070,0.386,0.32,0.295,,,,54150,54846,54173,56055
"Fairbanks North Star Borough, AK","county",05000US02090,0.194,0.162,0.163,4.3,3.8,4.9,69223,70408,71068,73831
