year,geo_name,geo,income_black
2014,"Adams County","05000US17001",21917.0
2014,"Alexander County","05000US17003",17083.0
2014,"Bond County","05000US17005",40556.0
2014,"Boone County","05000US17007",54543.0
2014,"Brown County","05000US17009",None
2014,"Bureau County","05000US17011",51339.0
2014,"Calhoun County","05000US17013",None
2014,"Carroll County","05000US17015",None
2014,"Cass County","05000US17017",34141.0
2014,"Champaign County, IL","05000US17019",25139.0
2014,"Christian County","05000US17021",15250.0
2014,"Clark County","05000US17023",None
2014,"Clay County","05000US17025",None
2014,"Clinton County","05000US17027",27534.0
2014,"Coles County","05000US17029",14706.0
2014,"Cook County, IL","05000US17031",34935.0
2014,"Crawford County","05000US17033",101250.0
2014,"Cumberland County","05000US17035",None
2014,"DeKalb County, IL","05000US17037",22530.0
2014,"De Witt County","05000US17039",None
2014,"Douglas County","05000US17041",None
2014,"DuPage County, IL","05000US17043",51396.0
2014,"Edgar County","05000US17045",None
2014,"Edwards County","05000US17047",None
2014,"Effingham County","05000US17049",None
2014,"Fayette County","05000US17051",None
2014,"Ford County","05000US17053",88077.0
2014,"Franklin County","05000US17055",2499.0
2014,"Fulton County","05000US17057",None
2014,"Gallatin County","05000US17059",None
2014,"Greene County","05000US17061",None
2014,"Grundy County","05000US17063",30309.0
2014,"Hamilton County","05000US17065",None
2014,"Hancock County","05000US17067",None
2014,"Hardin County","05000US17069",None
2014,"Henderson County","05000US17071",None
2014,"Henry County","05000US17073",16500.0
2014,"Iroquois County","05000US17075",21296.0
2014,"Jackson County","05000US17077",13529.0
2014,"Jasper County","05000US17079",None
2014,"Jefferson County","05000US17081",30081.0
2014,"Jersey County","05000US17083",90435.0
2014,"Jo Daviess County","05000US17085",68056.0
2014,"Johnson County","05000US17087",62639.0
2014,"Kane County, IL","05000US17089",39254.0
2014,"Kankakee County, IL","05000US17091",28082.0
2014,"Kendall County, IL","05000US17093",96146.0
2014,"Knox County","05000US17095",21635.0
2014,"Lake County, IL","05000US17097",40369.0
2014,"LaSalle County, IL","05000US17099",18802.0
2014,"Lawrence County","05000US17101",18587.0
2014,"Lee County","05000US17103",22083.0
2014,"Livingston County","05000US17105",57917.0
2014,"Logan County","05000US17107",16016.0
2014,"McDonough County","05000US17109",25100.0
2014,"McHenry County, IL","05000US17111",68049.0
2014,"McLean County, IL","05000US17113",26700.0
2014,"Macon County, IL","05000US17115",22683.0
2014,"Macoupin County","05000US17117",45625.0
2014,"Madison County, IL","05000US17119",30966.0
2014,"Marion County","05000US17121",27011.0
2014,"Marshall County","05000US17123",None
2014,"Mason County","05000US17125",None
2014,"Massac County","05000US17127",24145.0
2014,"Menard County","05000US17129",None
2014,"Mercer County","05000US17131",None
2014,"Monroe County","05000US17133",None
